index,ID,Date,Post,Username,Retweets,Favorites,Geo,Mentions,Hashtags
70,1297573059595919362,2020-08-23 16:34:59+00:00,@Airtel_Presence @airtelindia @TRAI @rsprasad @AirtelNigeria @AIRTEL_KE @airtelnews Please don't use airtel. I have complained multiple times but they are not resolving my issue.,AshwiniKumar140,0,0,,@Airtel_Presence @airtelindia @TRAI @rsprasad @AirtelNigeria @AIRTEL_KE @airtelnews,
71,1297572150388432898,2020-08-23 16:31:23+00:00,"Hey @AIRTEL_KE , 99.9% of my calls have been dropping for the last few days, both inbound and outbound. A few people around me are experiencing the same.",MahuguMercy,0,0,,@AIRTEL_KE,
72,1297570678523207680,2020-08-23 16:25:32+00:00,@AIRTEL_KE Oya DM zangu mlikataa kujibu?,samwana_,0,0,,@AIRTEL_KE,
76,1297567098953248768,2020-08-23 16:11:18+00:00,"@AIRTEL_KE what is wrong with your network and internet,very poor nowadays even now!!",ArmstrongMawira,0,0,,@AIRTEL_KE,
77,1297566987258929155,2020-08-23 16:10:52+00:00,Whats wrong with this @AIRTEL_KE who told them when we buy MBS we work at night give us what we buy we shall know how to use them stop this nonsense of night and day bundles,mutungacarlos,0,0,,@AIRTEL_KE,
87,1297562058242904064,2020-08-23 15:51:16+00:00,"This is really tempting , now that @AIRTEL_KE has undoubtedly decided to throw me into the gutter. ",_techGuru__,1,8,,@AIRTEL_KE,
100,1297559037656145921,2020-08-23 15:39:16+00:00,@AIRTEL_KE my phone has been telling me all day to sign into airtel but the request never goes through. What witchcraft is this ,kathesya,0,0,,@AIRTEL_KE,
107,1297557069944565760,2020-08-23 15:31:27+00:00,@AIRTEL_KE since inception @AIRTEL_KE has just been a comedy of errors..now who told them that their mbs should be split between day and night..then the night starts at midnight?..that's why am reverting back to safcom..seems the inception disease lingers on,BrianEd81402731,0,0,,@AIRTEL_KE @AIRTEL_KE,
109,1297557002776977409,2020-08-23 15:31:11+00:00,"Jambo @AIRTEL_KE , this message always spoils the fun ",realRitchie254,0,0,,@AIRTEL_KE,
115,1297556155686944770,2020-08-23 15:27:49+00:00,Acheni kujifanya hamjaniona kwa Advert ya @AIRTEL_KE ,ericoh_tush,0,0,,@AIRTEL_KE,
118,1297555683366273028,2020-08-23 15:25:56+00:00,@AIRTEL_KE check DM,Gathumbi_Jnr,0,0,,@AIRTEL_KE,
126,1297553535102529537,2020-08-23 15:17:24+00:00,Yo @AIRTEL_KE #Week4 #Day3 and still waiting. #unresolved,nyamoloelvis,0,0,,@AIRTEL_KE,#Week4 #Day3 #unresolved
132,1297552588339064836,2020-08-23 15:13:39+00:00,"@AIRTEL_KE Hi, i bought credit from M-pesa to my airtel line through paybill number 220220, its a week now and i cannot get the airtime. Can someone tell me whats happening here?",toneyten,0,0,,@AIRTEL_KE,
139,1297550008737312769,2020-08-23 15:03:24+00:00,@AIRTEL_KE please your network is too slow Am tired of network search!,KiprutoFestus11,0,0,,@AIRTEL_KE,
157,1297544585116356608,2020-08-23 14:41:50+00:00,. @AIRTEL_KE how long has it been since you 'reprovisioned' my line for better internet.... I still cannot upload media on your 4G internet!!!!! ,_techGuru__,0,4,,@AIRTEL_KE,
164,1297542792017829889,2020-08-23 14:34:43+00:00,@AIRTEL_KE good lord who manages this incompetent company called airtel????,LisaMar70486221,0,0,,@AIRTEL_KE,
165,1297542378824359937,2020-08-23 14:33:04+00:00,@AIRTEL_KE please assist ,rexcidos,0,0,,@AIRTEL_KE,
166,1297542112528015363,2020-08-23 14:32:01+00:00,@AIRTEL_KE I'm subscribed to Unliminet( not even half used) yet when I try to make a call Im told I dont have airtime. I also can't send texts!,muleim,0,0,,@AIRTEL_KE,
168,1297541185351962627,2020-08-23 14:28:20+00:00,@AIRTEL_KE why is your internet not working at all this is the second time I have this problem AIRTEL IS A SCAM FR,GabuhKa,0,0,,@AIRTEL_KE,
172,1297540471447855105,2020-08-23 14:25:30+00:00,@AIRTEL_KE endeleeni ivo adi atoe ,maji_ya_mbosho,0,0,,@AIRTEL_KE,
179,1297537731577487360,2020-08-23 14:14:36+00:00,We are tired @AIRTEL_KE ,kalerwa254,0,0,,@AIRTEL_KE,
183,1297536838060605440,2020-08-23 14:11:03+00:00,@AIRTEL_KE are just disappointing. I switched to an Airtel line only to find wametoa the binge package less than a month since they introduced it. Worst customer experience ever. 0 out of 10 would recommend.,SpencerOfwiti,0,1,,@AIRTEL_KE,
201,1297534430521765889,2020-08-23 14:01:29+00:00,@AIRTEL_KE your internet services so poor.... I bought one GB in the morning and have used nothing because of internet... I resorted to safaricom and its working best.,VWeiko,0,0,,@AIRTEL_KE,
210,1297529674042613761,2020-08-23 13:42:35+00:00,"Me nilihamia safcom post pay, kuna time walininyanganya 95gb if data and 7k minutes and na nikasema siwezi rudi huko tena with @AIRTEL_KE very pooor network. I was once loyal but no",Nimikamire,0,0,,@AIRTEL_KE,
215,1297528594629922818,2020-08-23 13:38:18+00:00,"When it comes to say SORRY We are yet to resolve your issue, fr 4 days you said this.. that came in DM and when you want to declare WAR Victory like ... U come public. #Airtel u r special indeed, #BadOne @airtelindia @AIRTEL_KE",TeacherParv,0,0,,@airtelindia @AIRTEL_KE,#Airtel #BadOne
217,1297528242681905153,2020-08-23 13:36:54+00:00,"Hey @AIRTEL_KE, the compulsory night data zinaboo.. I can't stay online till late in order to use the data,, 12-6 AM Zinaboo sana That's for daily data bundles ",IamNchoro,1,0,,@AIRTEL_KE,
228,1297526742568054784,2020-08-23 13:30:56+00:00,But @AIRTEL_KE what's the point of giving me data and force me to use it from midnight to 6am? That should be a different package,FelixMusyoka_,0,0,,@AIRTEL_KE,
231,1297526321938075648,2020-08-23 13:29:16+00:00,"Sijai choka na kitu kama Vile nimechoka na @AIRTEL_KE,,kabisaa",gaceriwambui,0,0,,@AIRTEL_KE,
239,1297524748218499077,2020-08-23 13:23:01+00:00,@AIRTEL_KE is there a problem with your network? My Airtel line is disconnected and no one is responding to my mails.,AngiraOkoth,0,0,,@AIRTEL_KE,
252,1297521459317932033,2020-08-23 13:09:57+00:00,@AIRTEL_KE my data is way too slow today,Tonymugambi7,0,0,,@AIRTEL_KE,
266,1297517954058289153,2020-08-23 12:56:01+00:00,Kuna hii 95% used ya @AIRTEL_KE,kanyiStv,0,1,,@AIRTEL_KE,
280,1297515704040796168,2020-08-23 12:47:05+00:00,Airtime sent as: Msg:210:Transaction number R200823.1033.210030 to recharge 2000 KSH to 732477932 is successful. @AIRTEL_KE assist.^^NO,pesapalcare,0,0,,@AIRTEL_KE,
282,1297514711043407872,2020-08-23 12:43:08+00:00,@AIRTEL_KE I can't call with my number. 0780235977 What's happening.?,HoseaKinyuaQs,0,0,,@AIRTEL_KE,
283,1297514264505327618,2020-08-23 12:41:21+00:00,@AIRTEL_KE jana nilipatikana nje masaa ya curfew nikikimbizana na night bundles tag me a lawyer,darllieyout,0,1,,@AIRTEL_KE,
284,1297514135203328004,2020-08-23 12:40:51+00:00,"pathetic,annoying,painful,...endless.@AIRTEL_KE care less",b14b03bb7ea6495,0,1,,@AIRTEL_KE,
285,1297513162842005504,2020-08-23 12:36:59+00:00,"Thank you @AIRTEL_KE for the best deals in data, calls and sms. No words can say how thankful I am for the far you have sorted me out in communication. Thank you for your entire customer care team for the job well done. Thank you for being Honest and Loyal. Cheers to @AIRTEL_KE",danoldgodwin,0,1,,@AIRTEL_KE @AIRTEL_KE,
286,1297513124539637762,2020-08-23 12:36:50+00:00,They sooth us with tubonge then there is no network even for calls. @AIRTEL_KE ,JonathanMsto,0,1,,@AIRTEL_KE,
287,1297513042691981314,2020-08-23 12:36:30+00:00,@AIRTEL_KE do you have network in Juja.,Pitahnjuguna1,0,0,,@AIRTEL_KE,
306,1297508828385247232,2020-08-23 12:19:45+00:00,"I honestly think it's high time @CofekRebranded came in and stop @AIRTEL_KE from exploiting Kenyans. I buy data,then end up using the same cash to buy data from another provider because Airtel's are useless yet they can't refund!",The_dude_leon,0,0,,@CofekRebranded @AIRTEL_KE,
309,1297508450134523905,2020-08-23 12:18:15+00:00,@AIRTEL_KE kindly check DM and assist,AlbertSagwe,0,0,,@AIRTEL_KE,
312,1297507650868072448,2020-08-23 12:15:05+00:00,"Hi @AIRTEL_KE though most of Kenyans are frustrated with your services, thank you sana. 003 tuko sawa. Si Kama two years ago.",KhusemaOle,0,0,,@AIRTEL_KE,
314,1297507384294879232,2020-08-23 12:14:01+00:00,@AIRTEL_KE kwani kuna place hii kenya hakuna issues? Mtengeneze ama tuhame,eymar_john,0,0,,@AIRTEL_KE,
315,1297506811189362689,2020-08-23 12:11:44+00:00,@AIRTEL_KE i accidentally tore my scratch card before loading the credit. but the serial number is still visible. Can you help me get the credit?,Eswins,0,0,,@AIRTEL_KE,
317,1297506656478277632,2020-08-23 12:11:08+00:00,@airtel_ke mnaendaga church Sunday ??,GabuhKa,0,0,,@AIRTEL_KE,
320,1297506076548632579,2020-08-23 12:08:49+00:00,"@AIRTEL_KE Tuongee tu ukweli, nikiamua kustream game leo through your network, itaanza saa ngapi tentatively?",jinias,0,0,,@AIRTEL_KE,
322,1297505659190235138,2020-08-23 12:07:10+00:00,@AIRTEL_KE Hallo. Answer my question about zawadi points. How comes i have used 1000 per month airtime for 1 years running yet my zawadi points ate only 500?????,danwizz1,0,0,,@AIRTEL_KE,
325,1297505286048161792,2020-08-23 12:05:41+00:00,@AIRTEL_KE check dm ,MwangiMustapha,0,0,,@AIRTEL_KE,
328,1297504411904888837,2020-08-23 12:02:12+00:00,@AIRTEL_KE @pesapalcare @Pesapal I sent an airtime request of 2000/- to a wrong number 0732477932(currently off) instead of my right number 0732477931. Kindly assist. Pesa pal time stamp of 10:33am.,aumaundi,0,0,,@AIRTEL_KE @pesapalcare @Pesapal,
341,1297502032828325892,2020-08-23 11:52:45+00:00,Worst services from airtel no one is responding propley... I am paying 1999No one is taking it seriously.. I am wasting my time and money @airtelindia @Airtel_Presence @AIRTEL_KE @BharatCourt @TRAI @VittalGopal,AJ171093,0,0,,@airtelindia @Airtel_Presence @AIRTEL_KE @BharatCourt @TRAI @VittalGopal,
345,1297501149134827520,2020-08-23 11:49:15+00:00,Bado mnatumianga hizi useless data za @AIRTEL_KE,bk_ngure,0,1,,@AIRTEL_KE,
349,1297500540398637056,2020-08-23 11:46:49+00:00,@AIRTEL_KE ..please please do something ,officialNevin,0,0,,@AIRTEL_KE,
357,1297499489490677760,2020-08-23 11:42:39+00:00,@AIRTEL_KE please save our eyes ,esirlittle,0,0,,@AIRTEL_KE,
363,1297498642773876741,2020-08-23 11:39:17+00:00,"Last time I requested @AIRTEL_KE to send me an umbrella and Jacket, poor network as is your begging for help from a poor person.",BabuEndereAli,0,0,,@AIRTEL_KE,
368,1297497926374002688,2020-08-23 11:36:26+00:00,Hi! Will wait 15 minutes for the call. Been waiting for a very long time now. Will have to PORT ALL MY CONNECTIONS OUT OF AIRTEL. DONT WANT TO BE PART OF A COMPANY THAT DOESNT CARE ABOUT CUSTOMERS. @airtelindia @AIRTEL_KE @airtelnews #Airtel #airtelthanks,Ch15533633,0,1,,@airtelindia @AIRTEL_KE @airtelnews,#Airtel #airtelthanks
372,1297496649091018759,2020-08-23 11:31:22+00:00,@Airtel_Presence Hi! Will wait 15 minutes for the call. Been waiting for a very long time now. Will have to PORT ALL MY CONNECTIONS OUT OF AIRTEL. DONT WANT TO BE PART OF A COMPANY THAT DOESNT CARE ABOUT CUSTOMERS. @airtelindia @AIRTEL_KE @airtelnews #Airtel #airtelthanks,Ch15533633,0,0,,@Airtel_Presence @airtelindia @AIRTEL_KE @airtelnews,#Airtel #airtelthanks
378,1297494763390865408,2020-08-23 11:23:52+00:00,"@AIRTEL_KE 0731100191, stop reminding me to upgrade to 4G before a call. I'll do that in due time.",kipsevenyre,1,2,,@AIRTEL_KE,
395,1297491388695810048,2020-08-23 11:10:27+00:00,@AIRTEL_KE ,InnocentMayodi,0,0,,@AIRTEL_KE,
398,1297491190066155520,2020-08-23 11:09:40+00:00,@AIRTEL_KE Do I have to sacrifice the blood of a virgin to talk to an agent?,EdgarKaveli,0,0,,@AIRTEL_KE,
404,1297490807990214656,2020-08-23 11:08:09+00:00,Aki Airtel even after Baba mobilized us to migrate to your network all you did was disappoint us.@AIRTEL_KE what’s happening baibe? What’s happening? Why has poor connectivity been a problem since time immemorial? What happened to consistency?!,jay_ogara,0,0,,@AIRTEL_KE,
416,1297489558460936192,2020-08-23 11:03:11+00:00,@AIRTEL_KE your customer care line is extremely pathetic. The automatic menu instructs you to press a dial that does not respond. So much for customer service.,LeGranMaestro,0,0,,@AIRTEL_KE,
433,1297487016393924609,2020-08-23 10:53:05+00:00,"Hajui, mtumie data aingie YouTube ajifunze aki @AIRTEL_KE ",IamNchoro,0,0,,@AIRTEL_KE,
447,1297485155897151489,2020-08-23 10:45:41+00:00,"@AIRTEL_KE though your data are affordable, your network is so poor, it doesn't help!",thisisedwin,0,0,,@AIRTEL_KE,
448,1297485115552083969,2020-08-23 10:45:32+00:00,Good afternoon @AIRTEL_KE check DM,Kasambalive,0,0,,@AIRTEL_KE,
460,1297482747511005185,2020-08-23 10:36:07+00:00,With its latest ad does @AIRTEL_KE alludes that their internet is so slow,Gillyi,0,0,,@AIRTEL_KE,
469,1297481000801505280,2020-08-23 10:29:11+00:00, You'll spend 40 minutes asking whether thr other person can hear you @AIRTEL_KE,manthi_alex,0,0,,@AIRTEL_KE,
476,1297478719284617216,2020-08-23 10:20:07+00:00,"@Airtel_KE you are not serious, aty night bundles, who told you we want,leta iishe tujue imeisha,, Network down,,, just sick.",kimusarsteph,0,0,,@AIRTEL_KE,
478,1297477986141208576,2020-08-23 10:17:12+00:00,@AIRTEL_KE Reply DM,karingakioi,0,0,,@AIRTEL_KE,
488,1297476678164324352,2020-08-23 10:12:00+00:00,Nini husumbua @AIRTEL_KE? These people never reply their DMs. If they are not able to work on the DMs let them disable their DM option. It's unethical to leave clients to talk to themselves.,Dennis_Ndolo1,7,40,,@AIRTEL_KE,
500,1297475130550091776,2020-08-23 10:05:51+00:00,@AIRTEL_KE affter loading a single page for like 20 minutes . Mkue serious ,OJAYJonathan,0,0,,@AIRTEL_KE,
522,1297472857673551872,2020-08-23 09:56:49+00:00,@AIRTEL_KE so what happens when you buy airtel credit from mpesa using paybill number 220220 and you don't get your credit? Affected number 0731230155,OmonyiGeoffrey,0,0,,@AIRTEL_KE,
534,1297471508202356736,2020-08-23 09:51:28+00:00,"@AIRTEL_KE halafu hii ujinga ya kupigia watu simu ovyoovyo pia mwaache kabisa, mnataniharibia ndoa!!!!!!!",Ouseddy1,0,0,,@AIRTEL_KE,
536,1297471388731744256,2020-08-23 09:50:59+00:00,Sasa kama @AIRTEL_KE wenyewe wanatumia internet ya @SafaricomPLC kwa ofisi zao na wewe na kiherehere kama ya Fernandes wa Manchester United akitaka kupiga penalty umejikaza na line ya @AIRTEL_KE .... Maajab,ItsKufwoyi,0,0,,@AIRTEL_KE @SafaricomPLC @AIRTEL_KE,
541,1297471026155094017,2020-08-23 09:49:33+00:00,"Very true @AIRTEL_KE mnafaa kuimprove bana, network yenu",Ouseddy1,0,0,,@AIRTEL_KE,
553,1297470119061475328,2020-08-23 09:45:56+00:00,I thought it’s mine @AIRTEL_KE do something,iam_kamah,0,0,,@AIRTEL_KE,
586,1297466798921613313,2020-08-23 09:32:45+00:00,@AIRTEL_KE mliacha ku-respond DM?,Bruce_Super,0,0,,@AIRTEL_KE,
591,1297466480393621504,2020-08-23 09:31:29+00:00,@Airtel_Presence @airtelindia @airtelrw @AIRTEL_KE @airtelnews @vodafonein @RelJio4g in spite of being a Airtel platinum membership my volte is not working unable to use internet on call. My number +91 9722722547,alanghub,0,0,,@Airtel_Presence @airtelindia @airtelrw @AIRTEL_KE @airtelnews @VodafoneIN @RelJio4g,
594,1297465324615467027,2020-08-23 09:26:53+00:00,@AIRTEL_KE my unliminet bundle not working at all,Crippled_alpha,0,0,,@AIRTEL_KE,
613,1297463363451191297,2020-08-23 09:19:06+00:00,Do we even know the @AIRTEL_KE CEO,GlinsterA,0,0,,@AIRTEL_KE,
619,1297462773291646976,2020-08-23 09:16:45+00:00,For sure bosslady tumechoka na @AIRTEL_KE wapate adabu ata telkom inahappen kuwaliko,JosephM47293133,0,0,,@AIRTEL_KE,
628,1297461292433911819,2020-08-23 09:10:52+00:00,That's why ata nilitupa that so called @AIRTEL_KE line...afadhali nipambane na saf ata kama Wako expensive they have quality services...cheap is expensive indeed,GlinsterA,0,0,,@AIRTEL_KE,
640,1297458877869568001,2020-08-23 09:01:16+00:00,@AIRTEL_KE we have noticed sudden change in your data bundles. Zinaisha araka sana. See your lives. Cc Caro Jemo,kenna_lite,0,0,,@AIRTEL_KE,
642,1297458853429350401,2020-08-23 09:01:10+00:00,@AIRTEL_KE I think you should try to be innovative with your response to clients problems. Don't tell me to DM you my location and number. Thousands of clients are complaining about your network and you want to know their location and numbers. Please please please.,MakoraOuma,0,2,,@AIRTEL_KE,
651,1297456521455046656,2020-08-23 08:51:54+00:00,Sometimes airtel surely do you have to advertise before someone makes a call??? and so many uncalled for calls for adverts. @AIRTEL_KE,Maryiana96,2,4,,@AIRTEL_KE,
659,1297455681092689921,2020-08-23 08:48:34+00:00,@AIRTEL_KE I can tell you for free that if you invest well in your network coverage. You will down @SafaricomPLC more so in 4G network in rural areas. You have massive following but no network as your packages are affordable na mnatupeleka na rieng,RukenyaSteveh,0,0,,@AIRTEL_KE @SafaricomPLC,
677,1297453419234496512,2020-08-23 08:39:35+00:00,@AIRTEL_KE Sitaki kusema what I'm experiencing but ni Sawa tu ,kype_computers,0,1,,@AIRTEL_KE,
702,1297450337738076161,2020-08-23 08:27:20+00:00,@AIRTEL_KE ,_techGuru__,0,0,,@AIRTEL_KE,
708,1297449928705421313,2020-08-23 08:25:43+00:00,Aah this is so substandard. @AIRTEL_KE style up.,dummmyfreak,1,3,,@AIRTEL_KE,
722,1297448612256002048,2020-08-23 08:20:29+00:00,@AIRTEL_KE with the night data is the worst shit to have happened after corona.,njihiakelvin,0,0,,@AIRTEL_KE,
724,1297448326540001281,2020-08-23 08:19:21+00:00,Hawatakusaidia madam boss. I complained over 4 times on the issue of network fluctuations in Kasarani Sports view hadi nikachoka.. Ka unaweza jipange mapema tu. @AIRTEL_KE doesn't care these days,Jeanhtz,0,0,,@AIRTEL_KE,
730,1297447906518106112,2020-08-23 08:17:40+00:00,"@AIRTEL_KE I have 10GB data, but Airtel is telling me I've depleted my bundle. The 10GB expires on 31/08. My no: 0733151577 You are currently using UnlimiNET 1000 Monthly valid 31-08-20 07:43 .Balance is 10240 MB data, 581 MINs to ALL Networks and 4064 SMS.",batulhusein,0,0,,@AIRTEL_KE,
741,1297447146128646144,2020-08-23 08:14:39+00:00,"@AIRTEL_KE i stopped using your line after the nonsense of ""Night Data from 0000 to 0600 hours""",Mendelssohnia,0,1,,@AIRTEL_KE,
747,1297446224136634368,2020-08-23 08:10:59+00:00,@AIRTEL_KE your network is so unstable tangu juzi ,Kevindidakta,0,0,,@AIRTEL_KE,
750,1297445739577180160,2020-08-23 08:09:04+00:00,@AIRTEL_KE Due to luck of sleep i decided to wake up and use my night bundles that have been going to waste after less than 30 mins my bundles were over even the day bundles...can you please explain to me why that happened..keep in mind i bought those bundles twice. ,TesotJanet,0,0,,@AIRTEL_KE,
753,1297444993687334912,2020-08-23 08:06:06+00:00,@AIRTEL_KE see DM. Kindly address it.,Mark_kariuki,0,0,,@AIRTEL_KE,
756,1297444723985125376,2020-08-23 08:05:02+00:00,@AIRTEL_KE I cannot upload any images to Twitter using your network. It's been a week now. ,_techGuru__,4,12,,@AIRTEL_KE,
760,1297444567239872512,2020-08-23 08:04:24+00:00,"@AIRTEL_KE even after asking for my location twice, the connection is now worse than before. Mbona mko hivi lakini @AIRTEL_KE",Kajeeii,1,0,,@AIRTEL_KE @AIRTEL_KE,
761,1297444475254403073,2020-08-23 08:04:02+00:00,@AIRTEL_KE your net so intermittent this causes so much inconvenience for someone who needs to use the internet urgently at times ,ericohnjigithe,0,0,,@AIRTEL_KE,
774,1297441823691091969,2020-08-23 07:53:30+00:00,I feel represented. @AIRTEL_KE your incompetence is on another level.,Nich_andwem,0,0,,@AIRTEL_KE,
779,1297441516684808192,2020-08-23 07:52:17+00:00,[#INCOMPETENCE #DOL] SMS #INCOMPLET #BONUS VALABLE COMBIEN DE JOUR(S) ÔÔÔÔ! AH'RÉRA! @Airtel_GA @airtel_congob @airtelrdc @airtelniger @airtelindia @Airtel_Presence @AirtelNigeria @AIRTEL_KE @airtelnews #GABON #LIBEREELALIBERTE DE L'#AFRIQUE,IgowaW,0,0,,@Airtel_GA @airtel_congob @airtelrdc @airtelniger @airtelindia @Airtel_Presence @AirtelNigeria @AIRTEL_KE @airtelnews,#INCOMPETENCE #DOL #INCOMPLET #BONUS #GABON #LIBEREELALIBERTE #AFRIQUE
781,1297441252754034688,2020-08-23 07:51:14+00:00,Manzeh airtel nawaaminia lakini kila siku we are experiencing a problem nikicall customer care.Nlikol mpaka mkazima simu day flani @AIRTEL_KE,TumBrian1,0,4,,@AIRTEL_KE,
786,1297440675542306816,2020-08-23 07:48:56+00:00,"Hello,I'm so disappointed with you @AIRTEL_KE you're consuming my bundles abnormally,just bought 500mb but within 3omns it's done, haven't download any big file but why",RonaldS50573684,0,0,,@AIRTEL_KE,
787,1297440597335310336,2020-08-23 07:48:38+00:00,No wonder I keep away from @AIRTEL_KE But I hear they are good at calls and SMSs. Net ndio inawaangusha.,Iam_AOBO,0,0,,@AIRTEL_KE,
792,1297440053938061312,2020-08-23 07:46:28+00:00,akothe si unaeza ship your own net tuachie @AIRTEL_KE,WanjiruVinaah,0,0,,@AIRTEL_KE,
800,1297438767234637825,2020-08-23 07:41:22+00:00,@AIRTEL_KE I have literally given up waiting to be assisted. We pay to get these internet services. Safaricom is expensive but reliable and fast.,KeruKirucha,0,0,,@AIRTEL_KE,
804,1297438027015389186,2020-08-23 07:38:25+00:00,Wizi @AIRTEL_KE show real balance ,TheBugwa,0,0,,@AIRTEL_KE,
805,1297437754373087232,2020-08-23 07:37:20+00:00,@AIRTEL_KE wacheni wizi ...why can't you show real balance ... ,TheBugwa,0,0,,@AIRTEL_KE,
807,1297437269851283457,2020-08-23 07:35:25+00:00,what are the advantages of Airtel App and Airtel App TV without Binge internet? Cc @AIRTEL_KE,GiniMiniManeMo,0,0,,@AIRTEL_KE,
815,1297436564218433537,2020-08-23 07:32:36+00:00,Life at #SundayMorning with @AIRTEL_KE ,AnitaMsabeni,0,0,,@AIRTEL_KE,#SundayMorning
817,1297436013418237952,2020-08-23 07:30:25+00:00,"@AIRTEL_KE Still very slow and buffering on and off internet, at the bar it's full network but unusually slow, using your network for work This is my number again:0780830792 I stay in Keroka, opposite the General hospital along Keroka Nyangusu Road Kindly check",MotEdduMotieri,0,0,,@AIRTEL_KE,
824,1297434865055531008,2020-08-23 07:25:51+00:00,@AIRTEL_KE ,AlexKip254,0,0,,@AIRTEL_KE,
825,1297434852376096769,2020-08-23 07:25:48+00:00,Si I heard that @AIRTEL_KE customer care uses @SafaricomPLC network to tweet and respond to their customers ,douglas_mwale,0,0,,@AIRTEL_KE @SafaricomPLC,
844,1297430772094246912,2020-08-23 07:09:35+00:00,"@AIRTEL_KE it was nice doing business with you,the relationship with you was just pathetic with your data ,I gave you a nother chance but you dint learn",WanjalaLucas,0,0,,@AIRTEL_KE,
848,1297430295952732160,2020-08-23 07:07:42+00:00,Do something about your network! It's annoying! @AIRTEL_KE,Simiren_,0,0,,@AIRTEL_KE,
850,1297429482689748994,2020-08-23 07:04:28+00:00,It's usually pathetic kwanza masaa ya kustream game @Airtel_ke,Amwangike,0,0,,@AIRTEL_KE,
