index,ID,Date,Username,Post,Mentions,Hashtags,ReplierID,Replier,Reply_date,Reply,Reply_mentions,Reply_Hashtags
11,1298955664656674816,2020-08-27 12:08:58,MaverickAoko__,@AIRTEL_KE Whats the process of deactivating call barring or cancelling all diverts?,AIRTEL_KE,,1298968454997987333,AIRTEL_KE,2020-08-27 12:59:47+00:00,"We have advised Aoko, Dial ##330*0000#to deactivate all call barrings. ^Jamo",,
12,1298956111064727552,2020-08-27 12:10:44,mutuma_kinyua,@AIRTEL_KE Binge ilienda wapi,AIRTEL_KE,,1298968210499416065,AIRTEL_KE,2020-08-27 12:58:49+00:00,"Stay tuned for better offers Mutuma. Meanwhile, purchase our Amazing bundles on the App or under *544#^Jamo",,
13,1298957912367419392,2020-08-27 12:17:54,OpondoNiOkoth,@AIRTEL_KE I am a frustrated customer. You have sent me a message of overdue without invoice for July. I want to pa… https://t.co/a5SXpwsUej,AIRTEL_KE,,1298967778293153793,AIRTEL_KE,2020-08-27 12:57:06+00:00,"Hello Opondo, Please share your number for a follow up. ^Jamo",,
14,1298958304761217030,2020-08-27 12:19:27,kipsigisndet,@AIRTEL_KE I have mail from Communication Authority dated early August in which Airtel committed after several fals… https://t.co/1Cu0g6k3B0,AIRTEL_KE,,1298967546809528321,AIRTEL_KE,2020-08-27 12:56:11+00:00,You may forward the mail to customerservice@ke.airtel.com ^Jamo,,
15,1298958985928806402,2020-08-27 12:22:10,husseinberg_,@AIRTEL_KE https://t.co/wLuTSfd4lO  will you be replying to this anytime soon?,AIRTEL_KE,,1298966990892273664,AIRTEL_KE,2020-08-27 12:53:58+00:00,"Hello Amin, Provide your number for checks. ^Jamo",,
16,1298959295216791553,2020-08-27 12:23:24,FiancisOwino,"@AIRTEL_KE Kwisha, I'm on the way again. Ni kuhama tu🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️",AIRTEL_KE,,1298966837238079491,AIRTEL_KE,2020-08-27 12:53:22+00:00,Kuna Amazing kwa App. ^Jamo,,
17,1298959669592031234,2020-08-27 12:24:53,MaverickAoko__,@AIRTEL_KE Why are you not replying to our tweets? How can I deactivate all diverts and call barring?,AIRTEL_KE,,1298966698997972993,AIRTEL_KE,2020-08-27 12:52:49+00:00,"Hello Aoko, Dial ##330*0000#to deactivate all call barrings. ^Jamo",,
18,1298965811219050502,2020-08-27 12:49:17,MungaiEvelyn,"@AIRTEL_KE Its better now, thanks",AIRTEL_KE,,1298965993889374214,AIRTEL_KE,2020-08-27 12:50:01+00:00,Welcome ^Jamo,,
19,1298961341907111936,2020-08-27 12:31:32,MaryNay41277489,@AIRTEL_KE Hello Airtel. Why have you removed the daily 70 mb and 200mb subscriptions from the app?,AIRTEL_KE,,1298965773113864192,AIRTEL_KE,2020-08-27 12:49:08+00:00,"Hi Mary, Apologies for that. Please check now. ^Jamo",,
20,1298961693784055809,2020-08-27 12:32:55,TuvaBobi,@AIRTEL_KE And why have you removed the binge bundles 🤔🤔,AIRTEL_KE,,1298963767087300608,AIRTEL_KE,2020-08-27 12:41:10+00:00,"Hello Bobi, The bundle is no longer available. Buy our amazing bundles on the App or on the USSD *544#^Jamo",,
21,1298961775581450247,2020-08-27 12:33:15,ALBERTOMWANALDO,"@AIRTEL_KE Hi, how do I buy the new monthly binge bundles? I've searched everywhere in the app but can't find them",AIRTEL_KE,,1298963275183534080,AIRTEL_KE,2020-08-27 12:39:13+00:00,"Hello Herbert, The bundle is no longer available. Buy our amazing bundles on the App or on the USSD *544#^Jamo",,
